term,timestamp,close,confirmed_at,retrospective
short,2023-05-29 00:00:00+00:00,28100.31,2023-06-05 00:00:00+00:00,True
short,2023-06-06 00:00:00+00:00,25730.52,2023-06-13 00:00:00+00:00,True
short,2023-06-15 00:00:00+00:00,25119.91,2023-06-22 00:00:00+00:00,True
short,2023-07-04 00:00:00+00:00,31154.04,2023-07-11 00:00:00+00:00,True
short,2023-07-07 00:00:00+00:00,29970.05,2023-07-14 00:00:00+00:00,True
short,2023-07-14 00:00:00+00:00,31446.3,2023-07-21 00:00:00+00:00,True
short,2023-07-25 00:00:00+00:00,29186.08,2023-08-01 00:00:00+00:00,True
short,2023-08-06 00:00:00+00:00,29074.55,2023-08-13 00:00:00+00:00,True
short,2023-08-09 00:00:00+00:00,29766.72,2023-08-16 00:00:00+00:00,True
short,2023-08-30 00:00:00+00:00,27718.23,2023-09-06 00:00:00+00:00,True
short,2023-09-12 00:00:00+00:00,25143.63,2023-09-19 00:00:00+00:00,True
short,2023-09-20 00:00:00+00:00,27211.2,2023-09-27 00:00:00+00:00,True
short,2023-09-27 00:00:00+00:00,26217.38,2023-10-04 00:00:00+00:00,True
short,2023-10-02 00:00:00+00:00,27978.1,2023-10-09 00:00:00+00:00,True
short,2023-10-13 00:00:00+00:00,26738.45,2023-10-20 00:00:00+00:00,True
short,2023-11-16 00:00:00+00:00,37863.66,2023-11-23 00:00:00+00:00,True
short,2023-12-09 00:00:00+00:00,44199.33,2023-12-16 00:00:00+00:00,True
short,2023-12-12 00:00:00+00:00,41221.12,2023-12-19 00:00:00+00:00,True
short,2023-12-23 00:00:00+00:00,43948.89,2023-12-30 00:00:00+00:00,True
short,2023-12-30 00:00:00+00:00,42057.41,2024-01-06 00:00:00+00:00,True
short,2024-01-09 00:00:00+00:00,46900.01,2024-01-16 00:00:00+00:00,True
short,2024-01-23 00:00:00+00:00,39516.98,2024-01-30 00:00:00+00:00,True
short,2024-01-30 00:00:00+00:00,43269.41,2024-02-06 00:00:00+00:00,True
short,2024-02-24 00:00:00+00:00,50830.04,2024-03-02 00:00:00+00:00,True
short,2024-03-14 00:00:00+00:00,73087.94999999998,2024-03-21 00:00:00+00:00,True
short,2024-03-20 00:00:00+00:00,61981.15,2024-03-27 00:00:00+00:00,True
short,2024-04-01 00:00:00+00:00,71216.98,2024-04-08 00:00:00+00:00,True
short,2024-04-03 00:00:00+00:00,65448.35,2024-04-10 00:00:00+00:00,True
short,2024-04-09 00:00:00+00:00,71631.77,2024-04-16 00:00:00+00:00,True
short,2024-04-18 00:00:00+00:00,61309.97,2024-04-25 00:00:00+00:00,True
short,2024-04-23 00:00:00+00:00,66818.89,2024-04-30 00:00:00+00:00,True
short,2024-05-02 00:00:00+00:00,58266.04,2024-05-09 00:00:00+00:00,True
short,2024-05-06 00:00:00+00:00,64040.05,2024-05-13 00:00:00+00:00,True
short,2024-05-12 00:00:00+00:00,60784.24,2024-05-19 00:00:00+00:00,True
short,2024-05-21 00:00:00+00:00,71418.17,2024-05-28 00:00:00+00:00,True
short,2024-06-01 00:00:00+00:00,67576.21,2024-06-08 00:00:00+00:00,True
short,2024-06-06 00:00:00+00:00,71131.93,2024-06-13 00:00:00+00:00,True
short,2024-06-25 00:00:00+00:00,60382.81,2024-07-02 00:00:00+00:00,True
short,2024-07-02 00:00:00+00:00,62889.92,2024-07-09 00:00:00+00:00,True
short,2024-07-08 00:00:00+00:00,55878.38,2024-07-15 00:00:00+00:00,True
short,2024-07-29 00:00:00+00:00,68234.91,2024-08-05 00:00:00+00:00,True
short,2024-08-06 00:00:00+00:00,54006.0,2024-08-13 00:00:00+00:00,True
short,2024-08-16 00:00:00+00:00,57600.0,2024-08-23 00:00:00+00:00,True
short,2024-08-26 00:00:00+00:00,64279.03,2024-09-02 00:00:00+00:00,True
short,2024-09-07 00:00:00+00:00,53922.68,2024-09-14 00:00:00+00:00,True
short,2024-09-29 00:00:00+00:00,65923.99,2024-10-06 00:00:00+00:00,True
short,2024-10-11 00:00:00+00:00,60260.02,2024-10-18 00:00:00+00:00,True
short,2024-10-21 00:00:00+00:00,68987.76,2024-10-28 00:00:00+00:00,True
short,2024-10-26 00:00:00+00:00,66637.8,2024-11-02 00:00:00+00:00,True
